feature,importance
diff_from_1h_ago,7684
lag_15min,7454
lag_1h,6712
ratio_to_1h_ago,4908
diff_from_yesterday,3876
rolling_std_1h,3436
rolling_max_1h,2522
rolling_min_1h,1891
rolling_mean_1h,1743
hour_x_dow,1600
rolling_std_3h,1439
diff_from_last_week,1318
lag_24h,1193
ratio_to_yesterday,1168
rolling_mean_7d,975
wind_speed_10m,718
lag_3h,704
time_of_day,701
rolling_max_24h,691
rolling_mean_24h,687
rolling_mean_3h,659
ratio_to_last_week,647
lag_7d,639
poi_id,631
temperature_2m,588
rolling_std_24h,540
lag_6h,522
rolling_std_7d,494
lag_48h,429
is_holiday_eve,365
day_of_month,354
hour_x_weekend,342
lag_14d,321
cloud_cover_high,285
relative_humidity_2m,273
cloud_cover_low,245
cloud_cover_mid,180
rolling_min_24h,161
precipitation,108
month,73
hour,61
is_business_hours,57
is_afternoon,49
minute,49
is_weekend_or_holiday,47
is_weekend,31
is_morning,18
day_of_week,11
quarter_hour,9
is_holiday_aftermath,6
is_evening,6
is_holiday,5
is_night,4
